condition,scene,original_split,video,frame,label,initial,retrieved,smoothed,final
P2,R03,testing,08,610,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,611,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,612,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,613,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,614,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,615,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,616,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,617,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,618,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,619,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,620,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,621,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,622,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,623,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,624,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,625,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,626,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,627,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,628,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,629,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,630,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,631,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,632,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,633,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,634,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,635,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,636,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,637,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,638,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,639,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,640,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,641,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,642,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,643,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,644,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,645,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,646,1,0.0,0.0,0.0,0.0
P2,R03,testing,08,647,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,648,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,649,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,650,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,651,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,652,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,653,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,654,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,655,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,656,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,657,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,658,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,659,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,660,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,661,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,662,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,663,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,664,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,665,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,666,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,667,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,668,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,669,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,670,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,671,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,672,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,673,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,674,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,675,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,676,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,677,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,678,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,679,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,680,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,681,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,682,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,683,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,684,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,685,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,686,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,687,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,688,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,689,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,690,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,691,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,692,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,693,0,0.0,0.0,0.0,0.0
P2,R03,testing,08,694,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,0,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,1,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,2,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,3,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,4,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,5,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,6,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,7,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,8,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,9,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,10,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,11,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,12,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,13,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,14,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,15,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,16,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,17,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,18,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,19,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,20,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,21,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,22,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,23,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,24,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,25,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,26,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,27,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,28,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,29,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,30,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,31,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,32,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,33,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,34,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,35,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,36,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,37,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,38,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,39,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,40,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,41,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,42,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,43,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,44,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,45,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,46,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,47,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,48,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,49,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,50,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,51,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,52,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,53,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,54,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,55,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,56,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,57,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,58,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,59,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,60,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,61,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,62,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,63,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,64,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,65,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,66,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,67,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,68,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,69,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,70,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,71,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,72,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,73,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,74,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,75,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,76,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,77,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,78,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,79,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,80,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,81,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,82,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,83,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,84,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,85,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,86,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,87,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,88,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,89,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,90,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,91,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,92,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,93,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,94,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,95,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,96,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,97,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,98,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,99,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,100,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,101,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,102,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,103,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,104,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,105,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,106,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,107,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,108,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,109,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,110,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,111,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,112,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,113,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,114,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,115,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,116,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,117,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,118,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,119,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,120,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,121,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,122,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,123,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,124,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,125,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,126,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,127,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,128,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,129,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,130,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,131,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,132,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,133,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,134,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,135,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,136,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,137,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,138,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,139,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,140,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,141,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,142,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,143,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,144,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,145,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,146,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,147,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,148,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,149,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,150,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,151,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,152,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,153,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,154,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,155,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,156,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,157,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,158,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,159,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,160,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,161,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,162,0,0.0,0.0,0.0,0.0
P3,R03,testing,08,163,0,0.0,0.0,0.0,0.0
